Time,ZebraCount,LionCount
1754000,13,0
1755000,13,0
1756000,13,0
1757000,9,0
1758000,9,0
1759000,9,0
1760000,8,0
1761000,9,0
1762000,8,0
1763000,6,0
1764000,8,0
1765000,9,0
1766000,8,0
1767000,8,0
1768000,7,0
1769000,7,0
1770000,10,0
1771000,12,0
1772000,10,0
1773000,9,0
1774000,5,0
1775000,5,0
1776000,5,0
1777000,9,0
1778000,10,0
1779000,10,0
1780000,11,0
1781000,10,0
1782000,14,0
1783000,13,0
1784000,12,0
1785000,11,0
1786000,10,0
1787000,11,0
1788000,9,0
1789000,10,0
1790000,10,0
1791000,9,0
1792000,10,0
1793000,10,0
1794000,10,0
1795000,9,0
1796000,9,0
1797000,10,0
1798000,9,0
1799000,7,0
1800000,7,0
1801000,9,0
1802000,9,0
1803000,9,0
1804000,8,0
1805000,7,0
1806000,9,0
1807000,9,0
1808000,10,0
1809000,10,0
1810000,9,0
1811000,10,0
1812000,9,0
1813000,11,0
1814000,11,0
1815000,14,0
1816000,14,0
1817000,14,0
1818000,14,0
1819000,14,0
1820000,14,0
1821000,13,0
1822000,13,0
1823000,13,0
1824000,12,0
1825000,11,0
1826000,10,0
1827000,10,0
1828000,9,0
1829000,9,0
1830000,10,0
1831000,9,0
1832000,8,0
1833000,7,0
1834000,6,0
1835000,6,0
1836000,5,0
1837000,4,0
1838000,6,0
1839000,6,0
1840000,6,0
1841000,10,0
1842000,10,0
1843000,10,0
1844000,10,0
1845000,11,0
1846000,11,0
1847000,11,0
1848000,9,0
1849000,8,0
1850000,8,0
1851000,11,0
